143	1	1	1433637	CL
143	1	1433784	3877581	LL
143	1	3877605	4801869	CL
143	1	4802520	6093401	CC
143	1	6093524	20809969	CL
143	1	20813510	26731350	CC
143	1	26731572	26734979	CL
143	1	26735844	29360547	LL
143	1	29360764	30427671	CL
143	2	1	1017184	CL
143	2	1017887	7184810	CC
143	2	7185656	7811571	CL
143	2	7811662	10295969	LL
143	2	10296267	13016456	CL
143	2	13017309	17848035	LL
143	2	17848787	17848787	CL
143	2	17855602	18889410	CC
143	2	18890553	19698289	CL
143	3	1	1036269	CC
143	3	1038150	1038150	CL
143	3	1038213	1792461	LL
143	3	1793221	1842274	CL
143	3	1842634	4845627	CC
143	3	4846355	5972594	CL
143	3	5972677	7642709	LL
143	3	7642922	17436930	CL
143	3	17437860	20782256	CC
143	3	20782263	21070900	CL
143	3	21071113	23459830	LL
143	4	1	872556	LL
143	4	873012	7634357	CL
143	4	7635100	12767770	CC
143	4	12768756	18585056	CL
143	5	1	723431	CL
143	5	723594	3609944	CC
143	5	3610496	18885866	CL
143	5	18886402	20384297	CC
143	5	20384423	22276521	CL
143	5	22277339	23918736	CC
143	5	23918973	25047927	CL
143	5	25048664	25532380	LL
143	5	25532511	25861636	CL
143	5	25862524	26975502	CC
