2198355	1	1	266254	LL
2198355	1	266733	929191	CL
2198355	1	971198	1817230	CC
2198355	1	1817391	5979385	CL
2198355	1	5982393	8003113	CC
2198355	1	8003710	8719695	CL
2198355	1	8722312	9495548	CC
2198355	1	9495896	9910005	CL
2198355	1	9910421	20220887	CC
2198355	1	20222476	21336567	CL
2198355	1	21336809	23324009	LL
2198355	1	23324316	27992049	CL
2198355	1	27992466	28838773	LL
2198355	1	28843446	30427671	CL
2198355	2	1	16516347	CL
2198355	2	16517050	18426859	LL
2198355	2	18426876	19647641	CL
2198355	2	19649126	19698289	LL
2198355	3	1	4822497	CC
2198355	3	4825221	11075571	CL
2198355	3	11076478	18266967	CC
2198355	3	18267130	19452452	CL
2198355	3	19453048	20930793	CC
2198355	3	20931852	23459830	CL
2198355	4	1	9054273	CL
2198355	4	9054560	14445204	LL
2198355	4	14448701	18585056	CL
2198355	5	1	503353	CL
2198355	5	503665	3988921	CC
2198355	5	3989048	6514262	CL
2198355	5	6516300	7258353	LL
2198355	5	7259773	23239785	CL
2198355	5	23239817	26561442	CC
2198355	5	26561567	26975502	CL
